	Family	Genus	SampleName	Nuccore_ids
CAP58242.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	218091961
CAA12003.1	Geminiviridae	Mastrevirus	Maize streak virus - Reunion N2AR6]	2911664
AHZ65096.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	635200622
AIY33315.1	Geminiviridae	Mastrevirus	Panicum streak virus	725825474
AOT83559.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	1072936605
AFD63037.1	Geminiviridae	Mastrevirus	Chickpea chlorosis virus-E	380505427
AST11832.1	Geminiviridae	Mastrevirus	Maize striate mosaic virus	1229249305
ACF40353.1	Geminiviridae	Mastrevirus	Maize streak virus	194294700
ADA67970.1	Geminiviridae	Mastrevirus	Panicum streak virus	281398286
AEZ00918.1	Geminiviridae	Mastrevirus	Wheat dwarf virus	374256110
AAA68021.1	Nanoviridae	Nanovirus	Subterranean clover stunt virus	571493
AAA75463.1	Nanoviridae	Nanovirus	Subterranean clover stunt virus	987632
ACT79058.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	254681731
ACU00022.1	Nanoviridae	Nanovirus	Faba bean necrotic stunt virus	255040426
ACX50506.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	260779801
ACX50514.1	Nanoviridae	Nanovirus	Faba bean necrotic stunt virus	260779817
AFK65511.1	Nanoviridae	Nanovirus	Pea necrotic yellow dwarf virus	388542155
AHC72168.1	Nanoviridae	Nanovirus	Black medic leaf roll virus	567316284
AHC72178.1	Nanoviridae	Nanovirus	Black medic leaf roll virus	567316304
AHC72187.1	Nanoviridae	Nanovirus	Black medic leaf roll virus	567316322
AHC72195.1	Nanoviridae	Nanovirus	Faba bean necrotic stunt virus	567316338
AHC72221.1	Nanoviridae	Nanovirus	Faba bean necrotic stunt virus	567316390
AHC72229.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	567316406
AHC72238.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	567316424
AHC72272.1	Nanoviridae	Nanovirus	Pea necrotic yellow dwarf virus	567316492
AHC72282.1	Nanoviridae	Nanovirus	Pea yellow stunt virus	567316513
AQX56697.1	Nanoviridae	Nanovirus	Milk vetch dwarf virus	1154267217
AQX56707.1	Nanoviridae	Nanovirus	Milk vetch dwarf virus	1154267237
ARK36669.1	Nanoviridae	Nanovirus	Pea necrotic yellow dwarf virus	1186228453
ARK36677.1	Nanoviridae	Nanovirus	Pea necrotic yellow dwarf virus	1186228469
ASL05604.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	1215708538
ASL05609.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	1215708548
BAA34047.1	Nanoviridae	Nanovirus	Milk vetch dwarf virus	3798735
BAB78734.1	Nanoviridae	Nanovirus	Milk vetch dwarf virus	17425157
BAU21081.1	Nanoviridae	Nanovirus	Milk vetch dwarf virus	971823437
BAV00128.1	Nanoviridae	Nanovirus	Milk vetch dwarf virus	1027812680
BAV00140.1	Nanoviridae	Nanovirus	Milk vetch dwarf virus	1027812704
CAA72212.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	2239100
CAG77491.1	Nanoviridae	Nanovirus	Faba bean necrotic stunt virus	283482205
CAM35487.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	126153658
CAM35488.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	126153660
CCF74114.1	Nanoviridae	Nanovirus	Faba bean yellow leaf virus	409263268
CCF86305.1	Nanoviridae	Nanovirus	Faba bean necrotic yellows virus	379991324
AHF54686	Smacoviridae	Porprismacovirus	Turkey stool associated circular ssDNA virus	572921633
AIK28869	Smacoviridae	Porprismacovirus	Porcine stool-associated circular virus 8	673539332
AIK28877	Smacoviridae	Porprismacovirus	Porcine stool-associated circular virus 9	673539344
AIK28879	Smacoviridae	Porprismacovirus	Porcine stool-associated circular virus 9	673539347
AIK28883	Smacoviridae	Porprismacovirus	Porcine stool-associated circular virus 6	673539353
AIY31247	Smacoviridae	Porprismacovirus	Dromedary stool-associated circular ssDNA virus	725611813
AIY31249	Smacoviridae	Porprismacovirus	Dromedary stool-associated circular ssDNA virus	725611816
AIY31252	Smacoviridae	Porprismacovirus	Dromedary stool-associated circular ssDNA virus	725611819
AIY31260	Smacoviridae	Porprismacovirus	Dromedary stool-associated circular ssDNA virus	725611831
AJF23081	Smacoviridae	Porprismacovirus	Black howler monkey smacovirus	749502799
AJF23084	Smacoviridae	Porprismacovirus	Chimpanzee smacovirus	749502802
AJF23085	Smacoviridae	Porprismacovirus	Gorilla smacovirus	749502805
AJF23087	Smacoviridae	Porprismacovirus	Gorilla smacovirus	749502808
AJF23091	Smacoviridae	Porprismacovirus	Lemur smacovirus	749502814
AKV57234	Smacoviridae	Porprismacovirus	Rat stool-associated circular ssDNA virus	914293728
AMR73070	Smacoviridae	Porprismacovirus	Human feces smacovirus 2	1010921595
ANC51524	Smacoviridae	Porprismacovirus	Bovine faeces associated smacovirus 2	1025711616
ANC51525	Smacoviridae	Porprismacovirus	Sheep faeces associated smacovirus 3	1025711619
ANC51528	Smacoviridae	Porprismacovirus	Sheep faeces associated smacovirus 1	1025711622
ANC51529	Smacoviridae	Porprismacovirus	Sheep faeces associated smacovirus 2	1025711625
ANC51537	Smacoviridae	Porprismacovirus	Porcine faeces associated smacovirus 1	1025711637
ADJ58421.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	299930424
ADJ58427.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	299930431
ADJ58439.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	299930445
AFK64736.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	388540048
AGA19516.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000493
AGA19528.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000507
AGA19546.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000528
AGA19552.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000535
AGA19558.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000542
AGA19570.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000556
AGA19576.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	430000563
ALR86736.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514859
ALR86742.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514866
ALR86754.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514880
ALR86772.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514901
ALR86778.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514908
ALR86784.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514915
ALR86790.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514922
ALR86796.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514929
ALR86802.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	960514936
ALR86808.1	Geminiviridae	Turncurtovirus	Turnip leaf roll virus	960514943
ALR86820.1	Geminiviridae	Turncurtovirus	Turnip leaf roll virus	960514957
ALR86826.1	Geminiviridae	Turncurtovirus	Turnip leaf roll virus	960514964
ALR86862.1	Geminiviridae	Turncurtovirus	Turnip leaf roll virus	960515006
ALR86868.1	Geminiviridae	Turncurtovirus	Turnip leaf roll virus	960515013
ALR86880.1	Geminiviridae	Turncurtovirus	Turnip leaf roll virus	960515027
API65456.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	1111690322
API65460.1	Geminiviridae	Turncurtovirus	Turnip curly top virus	1111690329
